product_id,slug,title,noornegar_url,noornegar_price,new_site_price,daily_markup
45755,sony-fx2-digital-cinema-camera, Sony FX2 Digital Cinema Camera,https://noornegar.com/product/sony-fx2-digital-cinema-camera/,475000000.0,475500000.0,500000
45714,sony-a7c-ii-body-black, Sony a7C II body Black,https://noornegar.com/product/sony-a7c-ii-body-black/,360000000.0,360500000.0,500000
45730,sony-fe-70-200mm-f-2-8-gm-oss-lens,Sony FE 70-200mm f/2.8 GM OSS Lens,https://noornegar.com/product/sony-fe-70-200mm-f-2-8-gm-oss-lens/,340000000.0,340500000.0,500000
45742,sony-fe-70-200mm-f-2-8-gm-oss-ii-lens, Sony FE 70-200mm f/2.8 GM OSS II Lens,https://noornegar.com/product/sony-fe-70-200mm-f-2-8-gm-oss-ii-lens/,470000000.0,470500000.0,500000
46293,weifeng-wt-3560-camera-tripod,سه پایه دوربین ویفنگ Weifeng WT-3560 Camera Tripod,https://noornegar.com/product/weifeng-wt-3560-camera-tripod/,5500000.0,6000000.0,500000
45774,sony-sonnar-t-fe-35mm-f-2-8-za, Sony Sonnar T* FE 35mm f/2.8 ZA,https://noornegar.com/product/sony-sonnar-t-fe-35mm-f-2-8-za/,240000000.0,240500000.0,500000
45710,sony-zv-e10-mirrorless-camera-kit-16-50mm, Sony ZV-E10 Mirrorless Camera kit 16-50mm,https://noornegar.com/product/sony-zv-e10-mirrorless-camera-kit-16-50mm/,150000000.0,150500000.0,500000
45790,sony-fe-35mm-f-1-8, Sony FE 35mm f/1.8,https://noornegar.com/product/sony-fe-35mm-f-1-8/,125000000.0,125500000.0,500000
45736,sony-fe-50mm-f-1-2-gm, Sony FE 50mm f/1.2 GM,https://noornegar.com/product/sony-fe-50mm-f-1-2-gm/,340000000.0,340500000.0,500000
45743,sony-fe-35mm-f-1-4-gm,لنزسونی Sony FE 35mm f/1.4 GM,https://noornegar.com/product/sony-fe-35mm-f-1-4-gm/,265000000.0,265500000.0,500000
45731,sony-fe-24-105mm-f-4-g-oss-lens, Sony FE 24-105mm f/4 G OSS ,https://noornegar.com/product/sony-fe-24-105mm-f-4-g-oss-lens/,180000000.0,180500000.0,500000
45737,sony-e-18-135mm-f-3-5-5-6-oss, Sony E 18-135mm f/3.5-5.6 OSS,https://noornegar.com/product/sony-e-18-135mm-f-3-5-5-6-oss/,90000000.0,90500000.0,500000
46294,jmary-monopod-tripod-model-kt-259,سه پایه مونوپاد جیماری Jmary monopod tripod model KT-259,https://noornegar.com/product/jmary-monopod-tripod-model-kt-259/,3150000.0,3650000.0,500000
45792,sony-fe-14mm-f-1-8-gm, Sony FE 14mm f/1.8 GM,https://noornegar.com/product/sony-fe-14mm-f-1-8-gm/,275000000.0,275500000.0,500000
45717,sony-fx30-digital-cinema-camera, Sony FX30 Digital Cinema Camera,https://noornegar.com/product/sony-fx30-digital-cinema-camera/,369800000.0,370300000.0,500000
46295,fanimax-800h-camera-tripod,سه پایه دوربین عکاسی فانیمکس Fanimax 800H Camera Tripod,https://noornegar.com/product/fanimax-800h-camera-tripod/,6900000.0,7400000.0,500000
